Change Physical Footprint: Designator=*3 Old Footprint=sot-23 New Footprint=sot-23
Change Physical Footprint: Designator=3.3V Old Footprint=ZZ311 New Footprint=ZZ311
Change Physical Footprint: Designator=5V_1 Old Footprint=ZZ311 New Footprint=ZZ311
Change Physical Footprint: Designator=5V_2 Old Footprint=ZZ311 New Footprint=ZZ311
Change Physical Footprint: Designator=C3 Old Footprint=2220 New Footprint=2220
Change Physical Footprint: Designator=C4 Old Footprint=2220 New Footprint=2220
Change Physical Footprint: Designator=COOLER Old Footprint=PCBComponent_1 New Footprint=PCBComponent_1
Change Physical Footprint: Designator=D1 Old Footprint=SMB New Footprint=SMB
Change Physical Footprint: Designator=D2 Old Footprint=SMC New Footprint=SMC
Change Physical Footprint: Designator=D3 Old Footprint=SMB New Footprint=SMB
Change Physical Footprint: Designator=D4 Old Footprint=SMB New Footprint=SMB
Change Physical Footprint: Designator=ESC Old Footprint=PCBComponent_1 New Footprint=PCBComponent_1
Change Physical Footprint: Designator=IGNITION Old Footprint=PCBComponent_1 New Footprint=PCBComponent_1
Change Physical Footprint: Designator=IRF7105 Old Footprint=SO-8_N New Footprint=SO-8_N
Change Physical Footprint: Designator=Q1 Old Footprint=SOT23_M New Footprint=SOT23_M
Change Physical Footprint: Designator=Q2 Old Footprint=SOT-23_N New Footprint=SOT-23_N
Change Physical Footprint: Designator=R5 Old Footprint=14-1210 New Footprint=14-1210
Change Physical Footprint: Designator=SERVO Old Footprint=PCBComponent_1 New Footprint=PCBComponent_1
Change Physical Footprint: Designator=XT8 Old Footprint=PCBComponent_1 New Footprint=PCBComponent_1
